observation_date,unemployment_rate
01/01/2000 00:00,2.1
01/02/2000 00:00,1.4
01/03/2000 00:00,1.6
01/04/2000 00:00,1.5
01/05/2000 00:00,1.9
01/06/2000 00:00,2
01/07/2000 00:00,2.1
01/08/2000 00:00,2.2
01/09/2000 00:00,2
01/10/2000 00:00,1.5
01/11/2000 00:00,1.5
01/12/2000 00:00,1.6
01/01/2001 00:00,1.8
01/02/2001 00:00,1.6
01/03/2001 00:00,2.2
01/04/2001 00:00,2
01/05/2001 00:00,2.2
01/06/2001 00:00,2.8
01/07/2001 00:00,2.3
01/08/2001 00:00,3.1
01/09/2001 00:00,3.5
01/10/2001 00:00,3
01/11/2001 00:00,3.2
01/12/2001 00:00,4
01/01/2002 00:00,3.7
01/02/2002 00:00,3.7
01/03/2002 00:00,3.3
01/04/2002 00:00,3
01/05/2002 00:00,3.4
01/06/2002 00:00,3.5
01/07/2002 00:00,3.4
01/08/2002 00:00,3.2
01/09/2002 00:00,3.1
01/10/2002 00:00,3
01/11/2002 00:00,2.7
01/12/2002 00:00,2.3
01/01/2003 00:00,3.9
01/02/2003 00:00,3.1
01/03/2003 00:00,3.2
01/04/2003 00:00,3.2
01/05/2003 00:00,2.9
01/06/2003 00:00,3.4
01/07/2003 00:00,3.4
01/08/2003 00:00,3.8
01/09/2003 00:00,3.4
